total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
2,2,,,,,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2,0,,,,,0.009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2,0,,,,,0.009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4,2,,,,,0.018,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4,0,,,,,0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4,0,0.571,,,0,0.018,0,0.003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5,1,0.714,,,0,0.023,0.005,0.003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5,0,0.429,,,0,0.023,0,0.002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5,0,0.429,,,0,0.023,0,0.002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,1,0.571,,,0,0.027,0.005,0.003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
16,10,1.571,,,0,0.072,0.045,0.007,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
19,3,2,,,0,0.086,0.014,0.009,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
20,1,2.143,,,0,0.091,0.005,0.01,,,0,,,,,,,,,,,471,0.002,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
28,8,3.143,,,0,0.127,0.036,0.014,,,0,,,,,,,,,,60,531,0.002,0,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
31,3,3.571,,,0,0.14,0.014,0.016,,,0,,,,,,,,,,78,609,0.003,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
53,22,6.714,,,0,0.24,0.1,0.03,,,0,,,,,,,,,,75,684,0.003,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
136,83,18.571,,,0,0.616,0.376,0.084,,,0,,,,,,,,,,149,833,0.004,0.001,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
236,100,31.429,,,0,1.068,0.453,0.142,,,0,2.39,,,,,,,,,292,1125,0.005,0.001,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
299,63,40,,,0,1.354,0.285,0.181,,,0,2.34,,,,,,,,,16,1141,0.005,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
454,155,62,2,2,0.286,2.055,0.702,0.281,0.009,0.009,0.001,2.29,,,,,,,,,1022,2163,0.01,0.005,242,0.001,0.256,3.9,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
501,47,67.571,3,1,0.429,2.268,0.213,0.306,0.014,0.005,0.002,2.2,,,,,,,,,1247,3410,0.015,0.006,411,0.002,0.164,6.1,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
730,229,99.857,3,0,0.429,3.305,1.037,0.452,0.014,0,0.002,2.14,,,,,,,,,591,4001,0.018,0.003,485,0.002,0.206,4.9,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
776,46,103.286,5,2,0.714,3.513,0.208,0.468,0.023,0.009,0.003,2.03,,,,,,,,,1224,5225,0.024,0.006,649,0.003,0.159,6.3,,,,,,,,,,55.56,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
875,99,105.571,6,1,0.857,3.961,0.448,0.478,0.027,0.005,0.004,1.96,,,,,,,,,219,5444,0.025,0.001,659,0.003,0.16,6.2,,,,,,,,,,55.56,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
972,97,105.143,7,1,1,4.4,0.439,0.476,0.032,0.005,0.005,1.89,,,,,,,,,413,5857,0.027,0.002,676,0.003,0.156,6.4,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1063,91,109.143,8,1,1.143,4.812,0.412,0.494,0.036,0.005,0.005,1.84,,,,,,,,,266,6123,0.028,0.001,712,0.003,0.153,6.5,,,,,,,,,,93.52,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1201,138,106.714,9,1,1,5.437,0.625,0.483,0.041,0.005,0.005,1.8,,,,,,,,,326,6449,0.029,0.001,612,0.003,0.174,5.7,,,,,,,,,,93.52,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1373,172,124.571,11,2,1.143,6.216,0.779,0.564,0.05,0.009,0.005,1.77,,,,,,,,,1386,7835,0.035,0.006,632,0.003,0.197,5.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1495,122,109.286,12,1,1.286,6.768,0.552,0.495,0.054,0.005,0.006,1.73,,,,,,,,,5396,13231,0.06,0.024,1319,0.006,0.083,12.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1597,102,117.286,14,2,1.286,7.23,0.462,0.531,0.063,0.009,0.006,1.7,,,,,,,,,1105,14336,0.065,0.005,1302,0.006,0.09,11.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1717,120,120.286,21,7,2.143,7.773,0.543,0.545,0.095,0.032,0.01,1.68,,,,,,,,,412,14748,0.067,0.002,1329,0.006,0.091,11,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
1938,221,138,26,5,2.714,8.774,1,0.625,0.118,0.023,0.012,1.68,,,,,,,,,935,15683,0.071,0.004,1404,0.006,0.098,10.2,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2118,180,150.714,27,1,2.714,9.588,0.815,0.682,0.122,0.005,0.012,1.66,,,,,,,,,284,15967,0.072,0.001,1406,0.006,0.107,9.3,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2421,303,174.286,34,7,3.571,10.96,1.372,0.789,0.154,0.032,0.016,1.65,,,,,,,,,1357,17324,0.078,0.006,1554,0.007,0.112,8.9,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2686,265,187.571,40,6,4.143,12.16,1.2,0.849,0.181,0.027,0.019,1.63,,,,,,,,,12984,30308,0.137,0.059,3210,0.015,0.058,17.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
2818,132,189,41,1,4.143,12.757,0.598,0.856,0.186,0.005,0.019,1.6,,,,,,,,,2622,32930,0.149,0.012,2814,0.013,0.067,14.9,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
3157,339,222.857,47,6,4.714,14.292,1.535,1.009,0.213,0.027,0.021,1.6,,,,,,,,,1955,34885,0.158,0.009,2936,0.013,0.076,13.2,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
3766,609,292.714,53,6,4.571,17.049,2.757,1.325,0.24,0.027,0.021,1.58,,,,,,,,,990,35875,0.162,0.004,3018,0.014,0.097,10.3,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4035,269,299.571,57,4,4.429,18.267,1.218,1.356,0.258,0.018,0.02,1.53,,,,,,,,,3308,39183,0.177,0.015,3357,0.015,0.089,11.2,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4263,228,306.429,61,4,4.857,19.299,1.032,1.387,0.276,0.018,0.022,1.49,,,,,,,,,2976,42159,0.191,0.013,3742,0.017,0.082,12.2,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4489,226,295.429,65,4,4.429,20.322,1.023,1.337,0.294,0.018,0.02,1.46,,,,,,,,,2737,44896,0.203,0.012,3939,0.018,0.075,13.3,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
4695,206,287,66,1,3.714,21.255,0.933,1.299,0.299,0.005,0.017,1.44,,,,,,,,,9810,54706,0.248,0.044,3485,0.016,0.082,12.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5011,316,313.286,86,20,6.429,22.685,1.431,1.418,0.389,0.091,0.029,1.43,,,,,,,,,3130,57836,0.262,0.014,3558,0.016,0.088,11.4,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5230,219,296.143,91,5,6.286,23.677,0.991,1.341,0.412,0.023,0.028,1.43,,,,,,,,,3965,61801,0.28,0.018,3845,0.017,0.077,13,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5496,266,247.143,93,2,5.714,24.881,1.204,1.119,0.421,0.009,0.026,1.43,,,,,,,,,3313,65114,0.295,0.015,4177,0.019,0.059,16.9,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
5837,341,257.429,96,3,5.571,26.425,1.544,1.165,0.435,0.014,0.025,1.44,,,,,,,,,4814,69928,0.317,0.022,4392,0.02,0.059,17.1,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6383,546,302.857,111,15,7.143,28.896,2.472,1.371,0.503,0.068,0.032,1.46,,,,,,,,,3511,73439,0.332,0.016,4469,0.02,0.068,14.8,,,,,,,,,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6919,536,347.143,128,17,9,31.323,2.427,1.572,0.579,0.077,0.041,1.46,,,,,,,,,5540,78979,0.358,0.025,4869,0.022,0.071,14,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
7025,106,332.857,135,7,9.857,31.803,0.48,1.507,0.611,0.032,0.045,1.45,,,,,,,,,5725,84704,0.383,0.026,4285,0.019,0.078,12.9,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
7638,613,375.286,143,8,8.143,34.578,2.775,1.699,0.647,0.036,0.037,1.47,,,,,,,,,7844,92548,0.419,0.036,4959,0.022,0.076,13.2,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
8348,710,445.429,168,25,11,37.792,3.214,2.016,0.761,0.113,0.05,1.48,,,,,,,,,5974,98522,0.446,0.027,5246,0.024,0.085,11.8,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
8418,70,417.429,176,8,11.857,38.109,0.317,1.89,0.797,0.036,0.054,1.47,,,,,,,,,5780,104302,0.472,0.026,5598,0.025,0.075,13.4,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
9565,1147,532.571,201,25,15,43.302,5.193,2.411,0.91,0.113,0.068,1.49,,,,,,,,,,,,,5447,0.025,0.098,10.2,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
10076,511,527.571,212,11,14.429,45.615,2.313,2.388,0.96,0.05,0.065,1.48,,,,,,,,,,111806,0.506,,5481,0.025,0.096,10.4,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
11155,1079,605.143,237,25,15.571,50.5,4.885,2.74,1.073,0.113,0.07,1.47,,,,,,,,,6214,118020,0.534,0.028,5577,0.025,0.109,9.2,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
11940,785,702.143,253,16,16.857,54.053,3.554,3.179,1.145,0.072,0.076,1.45,,,,,,,,,6529,124549,0.564,0.03,5692,0.026,0.123,8.1,,,,,,,,,,92.59,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
12723,783,726.429,269,16,18,57.598,3.545,3.289,1.218,0.072,0.081,1.43,,,,,,,,,6816,131365,0.595,0.031,5545,0.025,0.131,7.6,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
13328,605,711.429,281,12,16.143,60.337,2.739,3.221,1.272,0.054,0.073,1.41,,,,,,,,,6782,138147,0.625,0.031,5661,0.026,0.126,8,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
13915,587,785.286,292,11,16.571,62.994,2.657,3.555,1.322,0.05,0.075,1.4,,,,,,,,,6218,144365,0.654,0.028,5723,0.026,0.137,7.3,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
14612,697,721,312,20,15.857,66.15,3.155,3.264,1.412,0.091,0.072,1.4,,,,,,,,,6391,150756,0.682,0.029,6100,0.028,0.118,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
15525,913,778.429,343,31,18.714,70.283,4.133,3.524,1.553,0.14,0.085,1.4,,,,,,,,,6467,157223,0.712,0.029,6488,0.029,0.12,8.3,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
16817,1292,808.857,385,42,21.143,76.132,5.849,3.662,1.743,0.19,0.096,1.4,,,,,,,,,8688,165911,0.751,0.039,6842,0.031,0.118,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
18114,1297,882,417,32,23.429,82.004,5.872,3.993,1.888,0.145,0.106,1.39,,,,,,,,,8249,174160,0.788,0.037,7087,0.032,0.124,8,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
19103,989,911.429,440,23,24.429,86.481,4.477,4.126,1.992,0.104,0.111,1.38,,,,,,,,,7971,182131,0.825,0.036,7252,0.033,0.126,8,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
20084,981,965.143,457,17,25.143,90.922,4.441,4.369,2.069,0.077,0.114,1.37,,,,,,,,,11728,193859,0.878,0.053,7959,0.036,0.121,8.2,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
20941,857,1003.714,476,19,26.286,94.802,3.88,4.544,2.155,0.086,0.119,1.36,,,,,,,,,9166,203025,0.919,0.041,8380,0.038,0.12,8.3,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
22049,1108,1062.429,514,38,28.857,99.818,5.016,4.81,2.327,0.172,0.131,1.36,,,,,,,,,9486,212511,0.962,0.043,8822,0.04,0.12,8.3,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
24073,2024,1221.143,564,50,31.571,108.981,9.163,5.528,2.553,0.226,0.143,1.37,,,,,,,,,9893,222404,1.007,0.045,9312,0.042,0.131,7.6,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
24644,571,1118.143,585,21,28.571,111.566,2.585,5.062,2.648,0.095,0.129,1.35,,,,,,,,,10178,232582,1.053,0.046,9524,0.043,0.117,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
26435,1791,1188.714,599,14,26,119.674,8.108,5.381,2.712,0.063,0.118,1.35,,,,,,,,,12196,244778,1.108,0.055,10088,0.046,0.118,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
28736,2301,1376.143,636,37,28,130.091,10.417,6.23,2.879,0.168,0.127,1.35,,,,,,,,,12469,257247,1.165,0.056,10731,0.049,0.128,7.8,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
30334,1598,1464.286,659,23,28.857,137.325,7.234,6.629,2.983,0.104,0.131,1.33,,,,,,,,,12778,270025,1.222,0.058,10881,0.049,0.135,7.4,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
32081,1747,1591.429,706,47,32.857,145.234,7.909,7.205,3.196,0.213,0.149,1.3,,,,,,,,,13492,283517,1.284,0.061,11499,0.052,0.138,7.2,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
34336,2255,1755.286,737,31,31.857,155.442,10.209,7.946,3.336,0.14,0.144,1.28,,,,,,,,,11377,294894,1.335,0.052,11769,0.053,0.149,6.7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
35298,962,1603.571,761,24,28.143,159.797,4.355,7.26,3.445,0.109,0.127,1.26,,,,,,,,,10957,305851,1.385,0.05,11921,0.054,0.135,7.4,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
35788,490,1592,770,9,26.429,162.016,2.218,7.207,3.486,0.041,0.12,1.24,,,,,,,,,11848,317699,1.438,0.054,12160,0.055,0.131,7.6,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
38799,3011,1766.286,834,64,33.571,175.647,13.631,7.996,3.776,0.29,0.152,1.25,,,,,,,,,13051,330750,1.497,0.059,12282,0.056,0.144,7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
38799,0,1437.571,834,0,28.286,175.647,0,6.508,3.776,0,0.128,1.23,,,,,,,,,13700,344450,1.559,0.062,12458,0.056,0.115,8.7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
40151,1352,1402.429,873,39,30.571,181.767,6.121,6.349,3.952,0.177,0.138,1.23,,,,,,,,,14814,359264,1.626,0.067,12748,0.058,0.11,9.1,,,,,,,,,,78.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
42125,1974,1434.857,903,30,28.143,190.704,8.936,6.496,4.088,0.136,0.127,1.24,,,,,,,,,14146,373410,1.69,0.064,12842,0.058,0.112,9,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
