total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
43966,1841,1375.714,939,36,28.857,199.038,8.334,6.228,4.251,0.163,0.131,1.24,,,,,,,,,13925,387335,1.754,0.063,13206,0.06,0.104,9.6,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
45898,1932,1514.286,985,46,32,207.784,8.746,6.855,4.459,0.208,0.145,1.25,,,,,,,,,12957,400292,1.812,0.059,13492,0.061,0.112,8.9,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
48091,2193,1757.571,1017,32,35.286,217.712,9.928,7.957,4.604,0.145,0.16,1.25,,,,,,,,,13962,414254,1.875,0.063,13794,0.062,0.127,7.8,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
50694,2603,1699.286,1067,50,33.286,229.496,11.784,7.693,4.83,0.226,0.151,1.25,,,,,,,,,15346,429600,1.945,0.069,14121,0.064,0.12,8.3,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
52437,1743,1948.286,1101,34,38.143,237.387,7.891,8.82,4.984,0.154,0.173,1.24,,,,,,,,,16387,445987,2.019,0.074,14505,0.066,0.134,7.4,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
54601,2164,2064.286,1133,32,37.143,247.184,9.797,9.345,5.129,0.145,0.168,1.24,,,,,,,,,14705,460692,2.086,0.067,14490,0.066,0.142,7,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
56349,1748,2032,1167,34,37.714,255.097,7.913,9.199,5.283,0.154,0.171,1.23,,,,,,,,,12915,473607,2.144,0.058,14314,0.065,0.142,7,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
57705,1356,1962.714,1197,30,36.857,261.236,6.139,8.885,5.419,0.136,0.167,1.24,,,,,,,,,10049,483656,2.19,0.045,13760,0.062,0.143,7,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
59151,1446,1893.286,1225,28,34.286,267.782,6.546,8.571,5.546,0.127,0.155,1.25,,,,,,,,,7252,490908,2.222,0.033,12945,0.059,0.146,6.8,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
61227,2076,1876.571,1260,35,34.714,277.18,9.398,8.495,5.704,0.158,0.157,1.27,,,,,,,,,8491,499399,2.261,0.038,12164,0.055,0.154,6.5,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
64028,2801,1904.857,1317,57,35.714,289.861,12.68,8.623,5.962,0.258,0.162,1.29,,,,,,,,,8687,508086,2.3,0.039,11212,0.051,0.17,5.9,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
66457,2429,2002.857,1395,78,42,300.857,10.996,9.067,6.315,0.353,0.19,1.31,,,,,,,,,11931,520017,2.354,0.054,10576,0.048,0.189,5.3,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
69496,3039,2127.857,1483,88,50,314.615,13.758,9.633,6.714,0.398,0.226,1.32,,,,,,,,,12020,532037,2.409,0.054,10192,0.046,0.209,4.8,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
72460,2964,2301.571,1543,60,53.714,328.033,13.418,10.419,6.985,0.272,0.243,1.34,,,,,,,,,14993,547030,2.476,0.068,10489,0.047,0.219,4.6,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
76398,3938,2670.429,1621,78,60.571,345.861,17.828,12.089,7.338,0.353,0.274,1.35,,,,,,,,,14106,561136,2.54,0.064,11069,0.05,0.241,4.1,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
80463,4065,3044.571,1688,67,66.143,364.263,18.403,13.783,7.642,0.303,0.299,1.35,,,,,,,,,16838,577974,2.617,0.076,12438,0.056,0.245,4.1,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
85264,4801,3433.857,1770,82,72.857,385.998,21.735,15.545,8.013,0.371,0.33,1.35,,,,,,,,,17370,595344,2.695,0.079,13706,0.062,0.251,4,,,,,,,,,,82.41,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
89249,3985,3603,1838,68,74.429,404.038,18.04,16.311,8.321,0.308,0.337,1.34,,,,,,,,,20167,615511,2.786,0.091,15346,0.069,0.235,4.3,,,,,,,,,,69.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
93983,4734,3932.286,1935,97,77.143,425.47,21.431,17.802,8.76,0.439,0.349,1.33,,,,,,,,,22812,638323,2.89,0.103,16901,0.077,0.233,4.3,,,,,,,,,,69.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
98943,4960,4206.714,2002,67,74.143,447.924,22.454,19.044,9.063,0.303,0.336,1.32,,,,,,,,,22185,660508,2.99,0.1,18353,0.083,0.229,4.4,,,,,,,,,,69.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
103671,4728,4458.714,2067,65,74.857,469.328,21.404,20.185,9.358,0.294,0.339,1.3,,,,,,,,,23100,683608,3.095,0.105,19511,0.088,0.229,4.4,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
108317,4646,4559.857,2172,105,78.714,490.361,21.033,20.643,9.833,0.475,0.356,1.29,,,,,,,,,22225,705833,3.195,0.101,20671,0.094,0.221,4.5,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
113702,5385,4748.429,2255,83,81,514.739,24.378,21.497,10.209,0.376,0.367,1.27,,,,,,,,,24620,730453,3.307,0.111,21783,0.099,0.218,4.6,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
119536,5834,4896,2356,101,83.714,541.151,26.411,22.165,10.666,0.457,0.379,1.26,,,,,,,,,23799,754252,3.415,0.108,22701,0.103,0.216,4.6,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
125933,6397,5240.571,2463,107,89.286,570.11,28.96,23.725,11.15,0.484,0.404,1.24,,,,,,,,,26573,780825,3.535,0.12,23616,0.107,0.222,4.5,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
125933,0,4564.286,2463,0,75.429,570.11,0,20.663,11.15,0,0.341,1.21,,,,,,,,,28344,809169,3.663,0.128,24407,0.11,0.187,5.3,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
132405,6472,4780.286,2551,88,78.429,599.41,29.299,21.641,11.549,0.398,0.355,1.21,,,,,,,,,29850,839019,3.798,0.135,25502,0.115,0.187,5.3,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
144478,12073,5829.571,2729,178,94.571,654.065,54.656,26.391,12.354,0.806,0.428,1.21,,,,,,,,,29546,868565,3.932,0.134,26422,0.12,0.221,4.5,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
148921,4443,5800.571,2839,110,95.286,674.179,20.114,26.26,12.852,0.498,0.431,1.17,,,,,,,,,29085,897650,4.064,0.132,27402,0.124,0.212,4.7,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
154760,5839,5865.429,2975,136,102.857,700.613,26.434,26.553,13.468,0.616,0.466,1.13,,,,,,,,,25015,922665,4.177,0.113,27459,0.124,0.214,4.7,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
160118,5358,5797.429,3093,118,105.286,724.869,24.256,26.245,14.002,0.534,0.477,1.1,,,,,,,,,28117,950782,4.304,0.127,28076,0.127,0.206,4.8,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
165062,4944,5589.857,3229,136,109.429,747.251,22.382,25.306,14.618,0.616,0.495,1.07,,,,,,,,,31230,982012,4.446,0.141,28741,0.13,0.194,5.1,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
171666,6604,6533.286,3382,153,131.286,777.148,29.897,29.577,15.311,0.693,0.594,1.05,,,,,,,,,29094,1011106,4.577,0.132,28848,0.131,0.226,4.4,,,,,,,,,,61.11,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
176617,4951,6316,3501,119,135.714,799.561,22.414,28.593,15.849,0.539,0.614,1.02,,,,,,,,,31681,1042787,4.721,0.143,29110,0.132,0.217,4.6,,,,,,,,,,58.33,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
181088,4471,5230,3590,89,123,819.802,20.241,23.677,16.252,0.403,0.557,0.99,,,,,,,,,28855,1071642,4.851,0.131,29011,0.131,0.18,5.5,,,,,,,,,,58.33,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
185034,3946,5159,3695,105,122.286,837.666,17.864,23.355,16.728,0.475,0.554,0.96,,,,,,,,,30520,1102162,4.99,0.138,29216,0.132,0.177,5.7,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
188926,3892,4880.857,3755,60,111.429,855.285,17.619,22.096,16.999,0.272,0.504,0.94,,,,,,,,,24599,1126761,5.101,0.111,29157,0.132,0.167,6,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
192970,4044,4693.143,3903,148,115.714,873.593,18.308,21.246,17.669,0.67,0.524,0.93,,,,,,,,,23380,1150141,5.207,0.106,28480,0.129,0.165,6.1,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
195745,2775,4383.286,3962,59,104.714,886.156,12.563,19.844,17.936,0.267,0.474,0.91,,,,,,,,,21835,1171976,5.306,0.099,27138,0.123,0.162,6.2,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
198883,3138,3888.143,4035,73,93.286,900.362,14.206,17.602,18.267,0.33,0.422,0.9,,,,,,,,,21041,1193017,5.401,0.095,25987,0.118,0.15,6.7,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
202955,4072,3762.571,4118,83,88.143,918.796,18.434,17.034,18.643,0.376,0.399,0.9,,,,,,,,,21123,1214140,5.497,0.096,24479,0.111,0.154,6.5,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
206512,3557,3632,4167,49,82.429,934.899,16.103,16.442,18.864,0.222,0.373,0.89,,,,,,,,,25013,1239153,5.61,0.113,23930,0.108,0.152,6.6,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
209337,2825,3471.857,4304,137,87,947.688,12.789,15.717,19.485,0.62,0.394,0.89,,,,,,,,,23009,1262162,5.714,0.104,22857,0.103,0.152,6.6,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
213470,4133,3506.286,4395,91,91.429,966.398,18.71,15.873,19.897,0.412,0.414,0.89,,,,,,,,,20930,1283092,5.809,0.095,22333,0.101,0.157,6.4,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
217809,4339,3548.429,4473,78,81.429,986.041,19.643,16.064,20.25,0.353,0.369,0.88,,,,,,,,,22418,1305510,5.91,0.101,22196,0.1,0.16,6.3,,,,,,,,,,60.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
221896,4087,3735.857,4551,78,84.143,1004.544,18.502,16.913,20.603,0.353,0.381,0.87,,,,,,,,,22128,1327638,6.01,0.1,22237,0.101,0.168,6,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
221896,0,3287.571,4551,0,73.714,1004.544,0,14.883,20.603,0,0.334,0.86,,,,,,,,,23135,1350773,6.115,0.105,22537,0.102,0.146,6.9,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
225283,3387,3189.714,4619,68,71.571,1019.877,15.333,14.44,20.911,0.308,0.324,0.87,,,,,,,,,22052,1372825,6.215,0.1,22669,0.103,0.141,7.1,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
231818,6535,3615.143,4762,143,85,1049.462,29.585,16.366,21.558,0.647,0.385,0.87,,,,,,,,,25527,1398352,6.33,0.116,22743,0.103,0.159,6.3,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
234509,2691,3596,4839,77,76.429,1061.644,12.182,16.279,21.907,0.349,0.346,0.86,,,,,,,,,22271,1420623,6.431,0.101,22637,0.102,0.159,6.3,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
237489,2980,3431.286,4922,83,75.286,1075.135,13.491,15.534,22.282,0.376,0.341,0.84,,,,,,,,,24530,1445153,6.542,0.111,23152,0.105,0.148,6.7,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
240848,3359,3291.286,4983,61,72.857,1090.341,15.207,14.9,22.559,0.276,0.33,0.83,,,,,,,,,21951,1467104,6.642,0.099,23085,0.105,0.143,7,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
243599,2751,3100.429,5058,75,72.429,1102.795,12.454,14.036,22.898,0.34,0.328,0.82,,,,,,,,,24333,1491437,6.752,0.11,23400,0.106,0.132,7.5,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
246351,2752,3493.571,5123,65,81.714,1115.254,12.459,15.816,23.192,0.294,0.37,0.81,,,,,,,,,23421,1514858,6.858,0.106,23441,0.106,0.149,6.7,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
248872,2521,3369.857,5197,74,82.571,1126.667,11.413,15.256,23.527,0.335,0.374,0.79,,,,,,,,,23569,1538427,6.965,0.107,23657,0.107,0.142,7,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
251625,2753,2829.571,5266,69,72,1139.13,12.463,12.81,23.84,0.312,0.326,0.78,,,,,,,,,24211,1562638,7.074,0.11,23469,0.106,0.121,8.3,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
253604,1979,2727.857,5320,54,68.714,1148.089,8.959,12.349,24.084,0.244,0.311,0.77,,,,,,,,,22532,1585170,7.176,0.102,23507,0.106,0.116,8.6,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
255769,2165,2611.429,5386,66,66.286,1157.89,9.801,11.822,24.383,0.299,0.3,0.76,,,,,,,,,21020,1606190,7.271,0.095,23005,0.104,0.114,8.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
257914,2145,2438,5426,40,63.286,1167.601,9.711,11.037,24.564,0.181,0.287,0.75,,,,,,,,,21749,1627939,7.37,0.098,22976,0.104,0.106,9.4,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
257914,0,2045,5426,0,52.571,1167.601,0,9.258,24.564,0,0.238,0.74,,,,,,,,,24244,1652183,7.48,0.11,22964,0.104,0.089,11.2,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
261917,4003,2223.714,5522,96,57,1185.722,18.122,10.067,24.999,0.435,0.258,0.74,,,,,,,,,23907,1676090,7.588,0.108,23033,0.104,0.097,10.4,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
263496,1579,2089.143,5568,46,53,1192.871,7.148,9.458,25.207,0.208,0.24,0.73,,,,,,,,,23011,1699101,7.692,0.104,22953,0.104,0.091,11,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
265083,1587,1922.571,5599,31,47.571,1200.055,7.184,8.704,25.347,0.14,0.215,0.72,,,,,,,,,22559,1721660,7.794,0.102,22717,0.103,0.085,11.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
266096,1013,1784.571,5639,40,45.571,1204.641,4.586,8.079,25.528,0.181,0.206,0.71,,,,,,,,,19108,1740768,7.881,0.087,22228,0.101,0.08,12.5,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
267428,1332,1665.571,5677,38,41.571,1210.671,6.03,7.54,25.7,0.172,0.188,0.7,,,,,,,,,17783,1758551,7.961,0.081,21766,0.099,0.077,13.1,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
269191,1763,1611,5709,32,40.429,1218.653,7.981,7.293,25.845,0.145,0.183,0.7,,,,,,,,,18331,1776882,8.044,0.083,21278,0.096,0.076,13.2,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
270400,1209,1783.714,5763,54,48.143,1224.126,5.473,8.075,26.09,0.244,0.218,0.7,,,,,,,,,22408,1799290,8.146,0.101,21015,0.095,0.085,11.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
271887,1487,1424.286,5787,24,37.857,1230.858,6.732,6.448,26.198,0.109,0.171,0.69,,,,,,,,,22006,1821296,8.245,0.1,20744,0.094,0.069,14.6,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
273113,1226,1373.857,5822,35,36.286,1236.408,5.55,6.22,26.357,0.158,0.164,0.68,,,,,,,,,23630,1844926,8.352,0.107,20832,0.094,0.066,15.2,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
273113,0,1147.143,5822,0,31.857,1236.408,0,5.193,26.357,0,0.144,0.68,,,,,,,,,23254,1868180,8.457,0.105,20931,0.095,0.055,18.2,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
274289,1176,1170.429,5842,20,29,1241.732,5.324,5.299,26.447,0.091,0.131,0.68,,,,,,,,,41666,1909846,8.646,0.189,24154,0.109,0.048,20.6,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
275225,936,1113.857,5865,23,26.857,1245.969,4.237,5.043,26.551,0.104,0.122,0.69,,,,,,,,,21256,1931102,8.742,0.096,24650,0.112,0.045,22.1,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
276288,1063,1013.857,5892,27,26.143,1250.781,4.812,4.59,26.674,0.122,0.118,0.69,,,,,,,,,21628,1952730,8.84,0.098,25121,0.114,0.04,24.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
277402,1114,1000.286,5924,32,23,1255.824,5.043,4.528,26.818,0.145,0.104,0.7,,,,,,,,,20507,1973237,8.933,0.093,24850,0.112,0.04,24.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
278305,903,916.857,5951,27,23.429,1259.912,4.088,4.151,26.941,0.122,0.106,0.7,,,,,,,,,,,,,24344,0.11,0.038,26.6,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
278305,0,741.714,5951,0,18.429,1259.912,0,3.358,26.941,0,0.083,0.7,,,,,,,,,,2010170,9.1,,23606,0.107,0.031,31.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
279699,1394,940.857,5976,25,22,1266.223,6.311,4.259,27.054,0.113,0.1,0.71,,,,,,,,,11026,2021196,9.15,0.05,21859,0.099,0.043,23.2,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
280461,762,881.714,5999,23,22.429,1269.673,3.45,3.992,27.158,0.104,0.102,0.72,,,,,,,,,10759,2031955,9.199,0.049,17444,0.079,0.051,19.8,,,,,,,,,,66.67,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
